id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,electorate,electoraterating
4763,3012,TOTTENHAM,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.806,144.857,21303135114,21303135114,213031351,West Footscray - Tottenham,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Maribyrnong,21.95538521,V1,PHN201,North Western Melbourne,Wyndham,Maribyrnong,Inner Metropolitan
4764,3012,WEST FOOTSCRAY,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.8006709,144.8716645,21303135123,21303135123,213031351,West Footscray - Tottenham,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Maribyrnong,21.95538521,V1,PHN201,North Western Melbourne,Wyndham,Maribyrnong,Inner Metropolitan
4765,3013,YARRAVILLE,VIC,144.888686,-37.814183,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.819811,144.8813738,21303135211,21303135211,213031352,Yarraville,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Gellibrand,16.83685875,V1,PHN201,North Western Melbourne,Melbourne,Gellibrand,Inner Metropolitan
4766,3013,YARRAVILLE WEST,VIC,144.888686,-37.814183,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.8148018,144.8852384,21303135216,21303135216,213031352,Yarraville,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Gellibrand,16.83685875,V1,PHN201,North Western Melbourne,Melbourne,Gellibrand,Inner Metropolitan
4767,3015,NEWPORT,VIC,144.880556,-37.838242,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1,-37.842,144.884,21302134421,21302134421,213021344,Newport,21302,Hobsons Bay,213,Melbourne - West,1,1,1,1,Gellibrand,,V1,PHN201,North Western Melbourne,Melbourne,Gellibrand,Inner Metropolitan
4768,3015,SOUTH KINGSVILLE,VIC,144.880556,-37.838242,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1,-37.8300643,144.8703715,21302134430,21302134430,213021344,Newport,21302,Hobsons Bay,213,Melbourne - West,1,1,1,1,Gellibrand,,V1,PHN201,North Western Melbourne,Melbourne,Gellibrand,Inner Metropolitan
4769,3015,SPOTSWOOD,VIC,144.880556,-37.838242,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1,-37.8292454,144.8813515,21302134442,21302134442,213021344,Newport,21302,Hobsons Bay,213,Melbourne - West,1,1,1,1,Gellibrand,,V1,PHN201,North Western Melbourne,Melbourne,Gellibrand,Inner Metropolitan
4770,3016,WILLIAMSTOWN,VIC,144.888461,-37.863743,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1,-37.861,144.885,21302134622,21302134622,213021346,Williamstown,21302,Hobsons Bay,213,Melbourne - West,1,1,1,1,Gellibrand,,V1,PHN201,North Western Melbourne,Hobsons Bay,Gellibrand,Inner Metropolitan
4771,3016,WILLIAMSTOWN NORTH,VIC,144.888461,-37.863743,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1,-37.8517597,144.8689963,21302134625,21302134625,213021346,Williamstown,21302,Hobsons Bay,213,Melbourne - West,1,1,1,1,Gellibrand,,V1,PHN201,North Western Melbourne,Hobsons Bay,Gellibrand,Inner Metropolitan
4772,3018,ALTONA,VIC,144.812736,-37.86172,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1,-37.8631512,144.8120218,21302134103,21302134103,213021341,Altona,21302,Hobsons Bay,213,Melbourne - West,1,1,1,1,Gellibrand,,V1,PHN201,North Western Melbourne,Wyndham,Gellibrand,Inner Metropolitan
4773,3018,SEAHOLME,VIC,144.812736,-37.86172,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1,-37.868,144.841,21302134105,21302134105,213021341,Altona,21302,Hobsons Bay,213,Melbourne - West,1,1,1,1,Gellibrand,,V1,PHN201,North Western Melbourne,Wyndham,Gellibrand,Inner Metropolitan
4774,3019,BRAYBROOK,VIC,144.854014,-37.784683,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.7903679,144.8566207,21303134730,21303134730,213031347,Braybrook,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Fraser,,V1,PHN201,North Western Melbourne,Moonee Valley,Fraser,Inner Metropolitan
